ground,ground_long,country,height,width,rounded_rect,tooltipText,url,notes
Adelaide Oval,Adelaide Oval,Aus,166.1,127.1,0,This ground is...,https://maps.google.com,
Basin Reserve,Basin Reserve,NZ,148.1,146.8,0,This ground is...,https://maps.google.com,
Bay Oval,Bay Oval,NZ,144,144,0,This ground is...,https://maps.google.com,
Cobham Oval,Cobham Oval,NZ,148,152,0,This ground is...,https://maps.google.com,
Eden Park,Eden Park,NZ,136.6,108,1,This ground is...,https://maps.google.com,Looks more like a rounded rectangle...
Hagley Oval,Hagley Oval,NZ,149,149,0,This ground is...,https://en.wikipedia.org/wiki/Hagley_Oval#Ground_specifications,
Lord's,Lord's Cricket Ground,UK,157.6,130.5,1,This ground is...,https://maps.google.com,Looks more like a rounded rectangle...
MCG,Melbourne Cricket Ground,Aus,147.8,172.9,0,This ground is...,http://www.espncricinfo.com/ci/content/ground/56441.html,
McLean Park,McLean Park,NZ,163,125,0,This ground is...,https://maps.google.com,
Newlands Park,Newlands Cricket Ground,SA,134.4,132.3,1,This ground is...,https://maps.google.com,Looks more like a rounded rectangle...
Old Trafford,Old Trafford Cricket Ground,UK,144.6,147.1,1,This ground is...,https://maps.google.com,Looks more like a rounded rectangle...
Saxton Oval,Saxton Oval,NZ,141,141,0,This ground is...,https://maps.google.com,
SCG,Sydney Cricket Ground,Aus,156,154,0,This ground is...,http://www.espncricinfo.com/ci/content/ground/56544.html,
Seddon Park,Seddon Park,NZ,128.73,135.94,0,This ground is...,https://maps.google.com,
St George's Park,St George's Park Cricket Ground ,SA,139.8,131.6,1,This ground is...,https://maps.google.com,Looks more like a rounded rectangle...
The Oval,"The Oval, London",UK,138,145,0,This ground is...,https://maps.google.com,
University Oval,University Oval,NZ,118.7,131.5,0,This ground is...,https://maps.google.com,
The WACA,Western Australia Cricket Association Ground ,Aus,149,139,0,This ground is...,http://www.espncricinfo.com/ci/content/ground/56490.html,
Westpac Stadium,Westpac Stadium,NZ,155.3,123.5,0,This ground is...,http://westpacstadium.co.nz/about-us/stadium-facts/,Calculated as (65.7m + 57.8m) for width and (77.3m + 78m) for height
Trent Bridge,Trent Bridge,UK,146.3,144.74,1,This ground is...,https://maps.google.com,Weird shape
The Gabba,Brisbane Cricket Ground,Aus,150,167,0,This ground is...,https://maps.google.com,
Bellerive Oval,Bellerive Oval,Aus,174.5,131.4,0,This ground is...,https://maps.google.com,
Headingley,Headingley Cricket Ground,UK,136.41,142.3,1,This ground is...,https://maps.google.com,Weird shape (cut off at the bottom)
Edgbaston,Edgbaston Cricket Ground,UK,147.34,143.65,0,This ground is...,,
Riverside Ground,Riverside Ground,UK,149.83,158.4,0,This ground is...,,Weird shape (octagonal)
Kingsmead,Kingsmead Cricket Ground,SA,,,,This ground is...,,
Wanderers,New Wanderers Stadium,SA,,,,This ground is...,,
Centurion Park,Centurion Park,SA,,,,This ground is...,,
Eden Gardens,Eden Gardens,Ind,,,,This ground is...,,
Green Park Stadium,Green Park Stadium,Ind,,,,This ground is...,,
Queen's Park Oval,Queen's Park Oval,WI,,,,This ground is...,,
Sinhalese Sports Club Ground,Sinhalese Sports Club Ground,SL,,,,This ground is...,,
Queens Sports Club,Queens Sports Club,Zim,,,,This ground is...,,
Galle International Stadium,Galle International Stadium,SL,,,,This ground is...,,
Sabina Park,Sabina Park,WI,,,,This ground is...,,
Pallekele,Pallekele International Cricket Stadium,SL,,,,This ground is...,,
Feroz Shah Kotla,Feroz Shah Kotla Ground,Ind,,,,This ground is...,,
M. Chinnaswamy Stadium,M. Chinnaswamy Stadium,Ind,,,,This ground is...,,
Mohali Stadium,Punjab Cricket Association IS Bindra Stadium,Ind,,,,This ground is...,,
Colombo Oval,Paikiasothy Saravanamuttu Stadium,SL,,,,This ground is...,,
Sher-e-Bangla,Sher-e-Bangla National Cricket Stadium,Ban,,,,This ground is...,,
ZAC Stadium,Zohur Ahmed Chowdhury Stadium,Ban,,,,This ground is...,,
Harare Sports Club,Harare Sports Club,Zim,,,,This ground is...,,
Kensington Oval,Kensington Oval,WI,,,,This ground is...,,
Wankhede Stadium,Wankhede Stadium,Ind,,,,This ground is...,,
M A Chidambaram Stadium,M A Chidambaram Stadium,Ind,,,,This ground is...,,
